zip_code	MSA_number	MSA_name
68172	36540	Omaha-Council Bluffs, NE-IA MSA
68175	36540	Omaha-Council Bluffs, NE-IA MSA
68176	36540	Omaha-Council Bluffs, NE-IA MSA
68178	36540	Omaha-Council Bluffs, NE-IA MSA
68179	36540	Omaha-Council Bluffs, NE-IA MSA
68180	36540	Omaha-Council Bluffs, NE-IA MSA
68181	36540	Omaha-Council Bluffs, NE-IA MSA
68182	36540	Omaha-Council Bluffs, NE-IA MSA
68183	36540	Omaha-Council Bluffs, NE-IA MSA
68197	36540	Omaha-Council Bluffs, NE-IA MSA
68198	36540	Omaha-Council Bluffs, NE-IA MSA
68301	99027	NE NONMETROPOLITAN AREA
68303	99027	NE NONMETROPOLITAN AREA
68304	36540	Omaha-Council Bluffs, NE-IA MSA
68305	99027	NE NONMETROPOLITAN AREA
68307	36540	Omaha-Council Bluffs, NE-IA MSA
68309	99027	NE NONMETROPOLITAN AREA
68310	99027	NE NONMETROPOLITAN AREA
68313	30700	Lincoln, NE MSA
68314	30700	Lincoln, NE MSA
68315	99027	NE NONMETROPOLITAN AREA
68316	99027	NE NONMETROPOLITAN AREA
68317	30700	Lincoln, NE MSA
68318	99027	NE NONMETROPOLITAN AREA
68319	99027	NE NONMETROPOLITAN AREA
68320	99027	NE NONMETROPOLITAN AREA
68321	99027	NE NONMETROPOLITAN AREA
68322	99027	NE NONMETROPOLITAN AREA
68323	99027	NE NONMETROPOLITAN AREA
68324	99027	NE NONMETROPOLITAN AREA
68325	99027	NE NONMETROPOLITAN AREA
68326	99027	NE NONMETROPOLITAN AREA
68327	99027	NE NONMETROPOLITAN AREA
68328	99027	NE NONMETROPOLITAN AREA
68329	99027	NE NONMETROPOLITAN AREA
68330	30700	Lincoln, NE MSA
68331	99027	NE NONMETROPOLITAN AREA
68332	99027	NE NONMETROPOLITAN AREA
68333	99027	NE NONMETROPOLITAN AREA
68335	99027	NE NONMETROPOLITAN AREA
68336	30700	Lincoln, NE MSA
68337	99027	NE NONMETROPOLITAN AREA
68338	99027	NE NONMETROPOLITAN AREA
68339	30700	Lincoln, NE MSA
68340	99027	NE NONMETROPOLITAN AREA
68341	99027	NE NONMETROPOLITAN AREA
68342	99027	NE NONMETROPOLITAN AREA
